epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.3135,1.07893,2.19203,2.65029,0.34512,0.70998,0.34527,0.30257,0.97747,2.32453,2.33091,0.000662069,0.000662069,0.000662069
2,145.945,0.24815,0.91776,1.06869,0.39929,0.97329,0.44204,0.34689,1.10138,1.33541,3.21836,0.00119719,0.00119719,0.00119719
3,209.912,0.17711,0.83305,0.98508,0.39031,0.96439,0.45691,0.34278,0.93122,1.1946,2.84556,0.00160031,0.00160031,0.00160031
4,268.466,0.13673,0.80158,0.9509,0.40161,0.98813,0.56076,0.4634,0.74976,1.08929,1.95846,0.001406,0.001406,0.001406
5,336.331,0.10518,0.77936,0.93599,0.39765,0.97626,0.43652,0.37626,0.69949,1.0642,2.28642,0.001208,0.001208,0.001208
6,402.758,0.08796,0.77005,0.92291,0.40489,0.99327,0.45406,0.39855,0.75425,1.2039,2.39176,0.00101,0.00101,0.00101
7,471.576,0.07108,0.75497,0.92172,0.40009,0.98752,0.50584,0.44936,0.71049,1.16906,2.30503,0.000812,0.000812,0.000812
8,535.431,0.06321,0.75274,0.91369,0.40383,0.9911,0.48771,0.43157,0.63569,1.07695,2.32322,0.000614,0.000614,0.000614
9,585.063,0.05108,0.74411,0.91118,0.40576,0.99703,0.46745,0.41344,0.64858,1.16692,2.3382,0.000416,0.000416,0.000416
10,642.977,0.04219,0.74163,0.90404,0.4063,1,0.44165,0.39598,0.60861,1.07449,2.22262,0.000218,0.000218,0.000218
