epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.132,0.74588,2.31225,2.05624,0.41803,0.81651,0.53436,0.51445,0.36076,1.56868,0.39771,0.000554331,0.000554331,0.000554331
2,289.338,0.18019,0.94459,0.9949,0.51853,0.79986,0.56494,0.56271,0.25713,1.10304,0.28553,0.00100011,0.00100011,0.00100011
3,418.397,0.13388,0.83656,0.94969,0.52007,0.79115,0.60204,0.57818,0.26292,1.21037,0.28414,0.00133586,0.00133586,0.00133586
4,547.526,0.11169,0.80977,0.93802,0.57605,0.81247,0.65354,0.64784,0.30055,0.92959,0.32065,0.0011719,0.0011719,0.0011719
5,689.916,0.08437,0.77918,0.92491,0.56405,0.81522,0.64409,0.6426,0.21783,1.16899,0.22262,0.00100687,0.00100687,0.00100687
6,828.02,0.07299,0.76165,0.91419,0.57956,0.80238,0.63175,0.6303,0.19265,1.36565,0.20184,0.000841835,0.000841835,0.000841835
7,997.898,0.06365,0.74653,0.91418,0.58284,0.77163,0.67052,0.66753,0.21918,1.23501,0.23435,0.000676802,0.000676802,0.000676802
8,1159.53,0.05528,0.7324,0.91115,0.56784,0.83455,0.72279,0.72279,0.19307,1.04474,0.19827,0.000511769,0.000511769,0.000511769
9,1292.46,0.04546,0.71929,0.90469,0.57664,0.80046,0.71527,0.71527,0.18705,1.28548,0.19082,0.000346736,0.000346736,0.000346736
10,1421.57,0.03708,0.69641,0.90556,0.60127,0.74771,0.73464,0.73413,0.20543,1.13192,0.21235,0.000181703,0.000181703,0.000181703
