epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4154.34,0.16302,1.22279,0.9138,0.52039,0.88822,0.6337,0.61535,0.24195,1.02986,1.13558,0.005842,0.005842,0.005842
44,4250.63,0.16248,1.21743,0.91496,0.51857,0.88631,0.62076,0.59445,0.197,1.05742,1.10213,0.005743,0.005743,0.005743
45,4350.79,0.16087,1.20255,0.91806,0.53486,0.85125,0.63949,0.63307,0.18532,0.99301,1.08892,0.005644,0.005644,0.005644
46,4451.42,0.15581,1.19192,0.90974,0.53011,0.85243,0.64154,0.62279,0.20212,1.02229,1.10172,0.005545,0.005545,0.005545
47,4551.75,0.1498,1.18279,0.90893,0.53186,0.85744,0.6475,0.62592,0.19929,0.99528,1.0894,0.005446,0.005446,0.005446
48,4652.82,0.15182,1.19232,0.90803,0.54583,0.83756,0.63927,0.63315,0.1861,1.00104,1.10277,0.005347,0.005347,0.005347
49,4754.05,0.15563,1.19761,0.91474,0.52745,0.86725,0.64737,0.61582,0.21715,1.06071,1.11356,0.005248,0.005248,0.005248
50,4854.28,0.15179,1.19768,0.90777,0.5127,0.87727,0.60888,0.58927,0.21445,1.0657,1.10771,0.005149,0.005149,0.005149
51,4954.57,0.15166,1.17739,0.90963,0.52514,0.821,0.62071,0.59259,0.21306,1.11281,1.11283,0.00505,0.00505,0.00505
52,5055.31,0.15029,1.17009,0.90605,0.52225,0.83127,0.62515,0.56967,0.24604,1.09021,1.15008,0.004951,0.004951,0.004951
53,5157.31,0.14576,1.17816,0.9083,0.51745,0.86471,0.64273,0.62868,0.21779,1.01901,1.11354,0.004852,0.004852,0.004852
54,5257.84,0.14466,1.16778,0.90576,0.51604,0.8665,0.63825,0.60126,0.21311,1.0992,1.11333,0.004753,0.004753,0.004753
55,5358.1,0.14269,1.19486,0.90655,0.52273,0.83189,0.63631,0.59513,0.21202,1.12424,1.11103,0.004654,0.004654,0.004654
56,5459.54,0.14318,1.17143,0.90422,0.53052,0.83313,0.63765,0.60547,0.22979,1.09821,1.12284,0.004555,0.004555,0.004555
57,5560.87,0.14218,1.17752,0.90502,0.53139,0.86823,0.64502,0.52151,0.24209,1.05043,1.171,0.004456,0.004456,0.004456
58,5661.35,0.14151,1.18021,0.90546,0.53656,0.85168,0.64594,0.53484,0.22165,1.06648,1.15577,0.004357,0.004357,0.004357
59,5761.9,0.13775,1.17598,0.90622,0.52919,0.82878,0.63862,0.47643,0.24907,1.07612,1.1785,0.004258,0.004258,0.004258
60,5862.5,0.13836,1.17757,0.90602,0.52973,0.83672,0.66121,0.4657,0.24706,1.07676,1.19209,0.004159,0.004159,0.004159
61,5963.09,0.13777,1.22191,0.90129,0.50055,0.79018,0.63209,0.45627,0.25736,1.11313,1.17582,0.00406,0.00406,0.00406
62,6063.57,0.13496,1.15336,0.90232,0.45299,0.75314,0.60203,0.46383,0.29531,1.14641,1.19929,0.003961,0.003961,0.003961
63,6163.84,0.13175,1.14945,0.90194,0.45235,0.73523,0.59022,0.46543,0.29648,1.15715,1.19623,0.003862,0.003862,0.003862
64,6263.46,0.13244,1.14794,0.90245,0.43862,0.76768,0.60788,0.46795,0.28635,1.14579,1.19493,0.003763,0.003763,0.003763
65,6365.43,0.13022,1.1399,0.90183,0.44288,0.76621,0.61078,0.44657,0.28436,1.12531,1.19416,0.003664,0.003664,0.003664
66,6465.49,0.12921,1.1364,0.89854,0.49033,0.73571,0.62331,0.45336,0.26227,1.11008,1.17506,0.003565,0.003565,0.003565
67,6565.99,0.12896,1.12493,0.89949,0.53478,0.73571,0.64259,0.49325,0.22881,1.11252,1.14446,0.003466,0.003466,0.003466
68,6665.99,0.12712,1.1471,0.90295,0.50055,0.74927,0.64701,0.55637,0.20856,1.11819,1.12476,0.003367,0.003367,0.003367
69,6765.91,0.12935,1.1531,0.90281,0.555,0.76621,0.66666,0.6285,0.19567,1.0759,1.11254,0.003268,0.003268,0.003268
70,6866.2,0.12694,1.1381,0.89788,0.57696,0.76929,0.67916,0.63561,0.18918,1.04453,1.10781,0.003169,0.003169,0.003169
71,6967.14,0.1248,1.13072,0.89992,0.57243,0.78816,0.69703,0.62013,0.2032,1.04862,1.12702,0.00307,0.00307,0.00307
72,7068.57,0.12106,1.12087,0.89708,0.56986,0.7951,0.70543,0.61482,0.20315,1.04347,1.12778,0.002971,0.002971,0.002971
