epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1708,1.43232,1.52899,2.06619,0.06899,0.6,0.17935,0.01988,3.48373,2.40386,3.64657,5.001e-05,5.001e-05,5.001e-05
2,22.6614,1.53958,1.60282,2.2178,0.0847,1,0.42494,0.09397,2.78818,2.67273,3.94074,0.000110914,0.000110914,0.000110914
3,33.6186,1.04257,1.36159,1.99167,0.08234,1,0.40023,0.09365,2.47062,2.29819,3.78803,0.000165216,0.000165216,0.000165216
4,44.8207,1.37972,1.46348,2.16776,0.07536,1,0.38743,0.166,2.09683,2.01219,3.86649,0.000212918,0.000212918,0.000212918
5,56.8161,0.98164,1.2978,1.87411,0.11322,1,0.49439,0.25286,1.86061,1.82752,3.88067,0.000254017,0.000254017,0.000254017
6,67.561,1.00164,1.39688,2.03126,0.11664,1,0.49805,0.2761,1.84062,1.79511,3.83563,0.000288516,0.000288516,0.000288516
7,78.3481,1.1669,1.51786,2.22036,0.12984,1,0.46079,0.24613,1.68727,1.80406,3.74468,0.000316413,0.000316413,0.000316413
8,88.5842,0.89323,1.28594,1.9507,0.13834,1,0.46421,0.25815,1.60696,1.80283,3.75379,0.000337709,0.000337709,0.000337709
9,98.5207,1.15093,1.46726,2.1205,0.1384,1,0.54289,0.31039,1.56805,1.79836,3.67894,0.000352404,0.000352404,0.000352404
10,108.755,0.89293,1.36035,1.97844,0.13775,1,0.62279,0.3512,1.56405,1.78439,3.6006,0.000360497,0.000360497,0.000360497
11,118.441,1.15825,1.77153,2.56139,0.15273,1,0.47677,0.29267,1.43627,1.73664,3.54554,0.000361989,0.000361989,0.000361989
12,127.786,1.17521,1.72149,2.8504,0.19862,1,0.7095,0.57115,1.20874,1.64638,3.51771,0.00035688,0.00035688,0.00035688
13,137.585,0.90098,1.6546,2.83098,0.24276,1,0.48688,0.41083,0.90483,1.64755,3.4901,0.000345169,0.000345169,0.000345169
14,147.412,0.9447,1.54189,3.1729,0.30938,1,0.52336,0.47557,0.82541,1.57065,3.44899,0.000326857,0.000326857,0.000326857
15,156.839,0.71329,1.56191,2.64929,0.3305,1,0.51801,0.50928,0.82563,1.51248,3.34016,0.000301944,0.000301944,0.000301944
16,166.463,0.77697,1.50936,3.08287,0.3305,1,0.51801,0.50928,0.82563,1.51248,3.34016,0.000270429,0.000270429,0.000270429
17,176.416,0.65071,1.50913,2.66266,0.3452,1,0.51943,0.50958,0.82093,1.50514,3.26102,0.000232313,0.000232313,0.000232313
18,185.805,0.59022,1.47546,2.76699,0.34917,1,0.51728,0.50719,0.77242,1.49971,3.2099,0.000187596,0.000187596,0.000187596
19,195.358,0.60884,1.45826,2.98614,0.34917,1,0.51728,0.50719,0.77242,1.49971,3.2099,0.000136277,0.000136277,0.000136277
20,205.493,0.55726,1.52759,2.38985,0.35021,1,0.5105,0.49656,0.72879,1.49841,3.19761,7.83573e-05,7.83573e-05,7.83573e-05
