epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6489,2.4738,2.60441,3.37108,0.96779,0.76111,0.9597,0.82613,1.05677,1.77747,2.2178,0.000662069,0.000662069,0.000662069
2,148.486,0.74508,1.1678,1.51548,0.79881,0.91958,0.85329,0.66704,0.83905,0.8945,2.01874,0.00130243,0.00130243,0.00130243
3,219.975,0.49685,0.98926,1.20083,0.72475,0.94651,0.73329,0.54204,0.94819,0.90508,2.19432,0.00191638,0.00191638,0.00191638
4,291.26,0.39777,0.90762,1.09321,0.86296,0.99505,0.87023,0.71913,0.76073,0.87857,1.80812,0.0018812,0.0018812,0.0018812
5,362.591,0.34094,0.85654,1.03677,0.79218,0.98311,0.87945,0.73908,0.63152,0.6398,1.50844,0.0018416,0.0018416,0.0018416
6,433.73,0.29317,0.8089,0.99496,0.82003,0.95296,0.8217,0.62272,0.69305,1.01511,1.52538,0.001802,0.001802,0.001802
7,505.039,0.26129,0.76291,0.97097,0.88037,0.98536,0.91756,0.79815,0.45432,0.81218,1.33752,0.0017624,0.0017624,0.0017624
8,576.128,0.24109,0.72747,0.95642,0.82429,0.8375,0.88925,0.75283,0.50647,0.84574,1.40438,0.0017228,0.0017228,0.0017228
9,647.376,0.22934,0.69924,0.94879,0.92585,0.99408,0.97671,0.93583,0.35891,0.52548,1.2743,0.0016832,0.0016832,0.0016832
10,718.73,0.21995,0.67135,0.94415,0.95572,0.83319,0.91927,0.86268,0.37332,0.63999,1.27872,0.0016436,0.0016436,0.0016436
11,789.784,0.20577,0.63821,0.93359,0.88583,0.93597,0.91412,0.8174,0.41025,1.02489,1.25039,0.001604,0.001604,0.001604
12,861.291,0.19739,0.60751,0.93045,0.76997,0.7066,0.78631,0.66092,0.51334,1.33541,1.29805,0.0015644,0.0015644,0.0015644
13,932.415,0.19287,0.59262,0.9295,0.89983,0.5573,0.81681,0.79004,0.26849,1.18804,1.17416,0.0015248,0.0015248,0.0015248
14,1003.74,0.18644,0.57485,0.92734,0.78811,0.94934,0.88974,0.82195,0.30503,1.26447,1.2009,0.0014852,0.0014852,0.0014852
15,1075.33,0.17982,0.54834,0.9237,0.91684,0.93848,0.95895,0.91824,0.26596,0.44081,1.19424,0.0014456,0.0014456,0.0014456
16,1162.81,0.17437,0.53113,0.92308,0.90635,0.84052,0.87705,0.81894,0.27048,0.6365,1.22482,0.001406,0.001406,0.001406
17,1253.85,0.16904,0.51349,0.91975,0.86614,0.54637,0.67537,0.63369,0.44798,1.66867,1.38107,0.0013664,0.0013664,0.0013664
18,1331.23,0.16335,0.49707,0.91716,0.79318,0.52352,0.70694,0.64641,0.48042,1.77208,1.3334,0.0013268,0.0013268,0.0013268
19,1415.68,0.15915,0.47487,0.91486,0.87599,0.7684,0.84928,0.79798,0.34522,0.91987,1.22635,0.0012872,0.0012872,0.0012872
20,1503.79,0.15644,0.47389,0.91394,0.65273,0.67793,0.72904,0.6691,0.62313,1.99604,1.44556,0.0012476,0.0012476,0.0012476
21,1592.13,0.15075,0.44835,0.91089,0.84649,0.55609,0.72017,0.6684,0.3546,1.48924,1.22968,0.001208,0.001208,0.001208
22,1663.18,0.1463,0.43697,0.91283,0.5705,0.74186,0.73871,0.66588,0.48588,1.80807,1.32594,0.0011684,0.0011684,0.0011684
23,1734.3,0.14074,0.42295,0.9092,0.89454,0.60371,0.69759,0.67038,0.33034,1.24031,1.26494,0.0011288,0.0011288,0.0011288
24,1805.48,0.14044,0.41937,0.91236,0.83679,0.45838,0.59027,0.55375,0.90784,2.33807,1.75592,0.0010892,0.0010892,0.0010892
25,1876.69,0.13834,0.40297,0.90892,0.87995,0.46861,0.53753,0.50425,0.71383,2.0737,1.55061,0.0010496,0.0010496,0.0010496
26,1947.88,0.13323,0.40109,0.90924,0.78871,0.44579,0.51762,0.47466,1.0077,2.41822,1.69137,0.00101,0.00101,0.00101
27,2019.04,0.13148,0.38811,0.90851,0.81406,0.49095,0.61434,0.56452,0.93119,2.71305,1.6516,0.0009704,0.0009704,0.0009704
28,2090.11,0.12999,0.38751,0.90712,0.74096,0.50663,0.66035,0.61034,0.51114,1.8419,1.32971,0.0009308,0.0009308,0.0009308
29,2161.06,0.12784,0.37147,0.90667,0.83875,0.47058,0.60234,0.56174,0.96003,2.27492,1.75915,0.0008912,0.0008912,0.0008912
30,2232.16,0.12424,0.36543,0.90611,0.87414,0.50302,0.63205,0.59411,0.45574,1.60264,1.33184,0.0008516,0.0008516,0.0008516
31,2303.6,0.12014,0.3468,0.90607,0.85663,0.47407,0.56546,0.5348,0.66854,2.0886,1.52704,0.000812,0.000812,0.000812
32,2374.88,0.11587,0.34406,0.90143,0.82334,0.46321,0.51933,0.49545,0.86178,2.46315,1.80207,0.0007724,0.0007724,0.0007724
33,2446.06,0.11835,0.34288,0.90262,0.78599,0.45235,0.51511,0.48936,0.77899,2.29362,1.64653,0.0007328,0.0007328,0.0007328
34,2517.44,0.11263,0.33405,0.90182,0.80831,0.46803,0.53474,0.50794,0.87033,2.33539,1.57709,0.0006932,0.0006932,0.0006932
